assignment,condition,iteration,score
ST21-01,no_memory,0,10
ST21-01,no_memory,1,94
ST21-01,no_memory,2,98
ST21-01,memory,0,92
ST21-01,memory,1,96
ST21-01,memory,2,96
ST21-01,memory,3,98
ST21-02,no_memory,0,11
ST21-02,no_memory,1,61
ST21-02,no_memory,2,64
ST21-02,no_memory,3,86
ST21-02,no_memory,4,91
ST21-02,memory,0,82
ST21-02,memory,1,93
WT2122-01,no_memory,0,17
WT2122-01,no_memory,1,97
WT2122-01,no_memory,2,98
WT2122-01,memory,0,98
WT2122-01,memory,1,98
WT2122-01,memory,2,100
WT2122-02,no_memory,0,70
WT2122-02,no_memory,1,60
WT2122-02,no_memory,2,93
WT2122-02,no_memory,3,97
WT2122-02,memory,0,90
WT2122-02,memory,1,98
WT2122-02,memory,2,98
WT2122-02,memory,3,100
ST22-01,no_memory,0,5
ST22-01,no_memory,1,83
ST22-01,no_memory,2,96
ST22-01,memory,0,87
ST22-01,memory,1,98
ST22-01,memory,2,98
ST22-02,no_memory,0,58
ST22-02,no_memory,1,78
ST22-02,no_memory,2,85
ST22-02,no_memory,3,87
ST22-02,no_memory,4,88
ST22-02,no_memory,5,90
ST22-02,memory,0,75
ST22-02,memory,1,87
ST22-02,memory,2,85
ST22-02,memory,3,87
ST22-02,memory,4,88
ST22-02,memory,5,88
ST22-02,memory,6,88
ST22-02,memory,7,88
ST22-02,memory,8,88
ST22-02,memory,9,90
WT2223-01,no_memory,0,30
WT2223-01,no_memory,1,38
WT2223-01,no_memory,2,50
WT2223-01,no_memory,3,70
WT2223-01,no_memory,4,48
WT2223-01,no_memory,5,75
WT2223-01,memory,0,52
WT2223-01,memory,1,85
WT2223-01,memory,2,90
WT2223-01,memory,2,95
WT2223-02,no_memory,0,84
WT2223-02,no_memory,1,97
WT2223-02,memory,0,77
WT2223-02,memory,1,89
WT2223-02,memory,2,97
ST23-01,no_memory,0,55
ST23-01,no_memory,1,68
ST23-01,no_memory,2,64
ST23-01,no_memory,3,68
ST23-01,memory,0,48
ST23-01,memory,1,59
ST23-01,memory,2,86
ST23-02,no_memory,0,63
ST23-02,no_memory,1,88
ST23-02,no_memory,2,94
ST23-02,memory,0,71
ST23-02,memory,1,84
ST23-02,memory,2,88
ST23-02,memory,3,94
WT2324-01,no_memory,0,60
WT2324-01,no_memory,1,76
WT2324-01,no_memory,2,84
WT2324-01,no_memory,3,91
WT2324-01,no_memory,4,89
WT2324-01,memory,0,53
WT2324-01,memory,1,86
WT2324-01,memory,2,84
WT2324-01,memory,3,93
WT2324-02,no_memory,0,78
WT2324-02,no_memory,1,91
WT2324-02,no_memory,2,93
WT2324-02,memory,0,78
WT2324-02,memory,1,93
WT2324-02,memory,2,98
ST24-01,no_memory,0,26
ST24-01,no_memory,1,39
ST24-01,no_memory,2,58
ST24-01,no_memory,3,65
ST24-01,no_memory,4,58
ST24-01,no_memory,5,68
ST24-01,no_memory,6,68
ST24-01,no_memory,7,74
ST24-01,no_memory,8,71
ST24-01,no_memory,9,81
ST24-01,memory,0,55
ST24-01,memory,1,71
ST24-01,memory,2,74
ST24-01,memory,3,74
ST24-01,memory,4,77
ST24-01,memory,5,74
ST24-01,memory,6,74
ST24-01,memory,7,81
ST24-01,memory,8,87
ST24-02,no_memory,0,23
ST24-02,no_memory,1,62
ST24-02,no_memory,2,86
ST24-02,no_memory,3,76
ST24-02,no_memory,4,95
ST24-02,memory,0,28
ST24-02,memory,1,67
ST24-02,memory,2,95
WT2425-01,no_memory,0,19
WT2425-01,no_memory,1,19
WT2425-01,no_memory,2,31
WT2425-01,no_memory,3,31
WT2425-01,no_memory,4,19
WT2425-01,no_memory,5,31
WT2425-01,no_memory,6,38
WT2425-01,no_memory,7,30
WT2425-01,no_memory,8,42
